key	en	fr	es	it	pt	nl	bg	cs	de	hr	pl	ru	ja	ko
tuto_step_1	Match all cards into the foundations. Begin with a *category card* and add the right words. *Drag* to move!	Placez toutes les cartes dans les fondations. Commencez par une *carte de catégorie*, puis ajoutez les bons mots. *Glissez* pour déplacer !	Lleva todas las cartas a las fundaciones. Empieza con una *carta de categoría* y añade las palabras correctas. ¡*Arrastra* para mover!	Metti tutte le carte nelle fondazioni. Inizia con una *carta di categoria* e aggiungi le parole giuste. *Trascina* per spostare!	Coloque todas as cartas nas fundações. Comece com uma *carta de categoria* e adicione as palavras certas. *Arraste* para mover!	Je doel is om *alle kaarten te verplaatsen* naar de fundamenten en ze *per categorie* te stapelen, beginnend met de categoriekaart. *Sleep gewoon een kaart* om hem te verplaatsen!	Целта ти е да *преместиш всички карти* в основите, подреждайки ги *по категория*, започвайки с картата на категорията. Просто *плъзни карта*, за да я преместиш!	Tvým cílem je *přesunout všechny karty* na základy a vrstvit je *podle kategorie*, počínaje kartou kategorie. Stačí *přetáhnout kartu*, abys ji přesunul!	Dein Ziel ist es, *alle Karten* auf die Fundamente zu bewegen und sie *nach Kategorie* zu stapeln, beginnend mit der Kategoriekarte. *Ziehe einfach eine Karte*, um sie zu bewegen!	Tvoj je cilj *pomaknuti sve karte* na osnove, slažući ih *po kategoriji* počevši s karticom kategorije. Samo *povuci kartu* da je pomakneš!	Twoim celem jest *przesunięcie wszystkich kart* na fundamenty, układając je *według kategorii*, zaczynając od karty kategorii. Po prostu *przeciągnij kartę*, aby ją przesunąć!	Твоя цель — *переместить все карты* на основания, складывая их *по категориям*, начиная с карты категории. Просто *перетащи карту*, чтобы переместить её!	あなたの目標は、*すべてのカードを*土台に移動し、カテゴリーカードから始めて*カテゴリー別に*積み重ねることです。*カードをドラッグ*するだけで移動できます！	목표는 *모든 카드를*기반으로 옮기고, 카테고리 카드부터 시작하여 *카테고리별로*쌓는 것입니다. *카드를 드래그*하여 이동하세요!
tuto_step_2	Stack words from the *same category*.	Empilez les mots de la *même catégorie*.	Apila palabras de la *misma categoría*.	Impila le parole della *stessa categoria*.	Empilhe palavras da *mesma categoria*.	Mooi! Je kunt ook kaarten *tussen kolommen* op het tableau verplaatsen. Stapel ze als de woorden tot dezelfde *categorie* behoren.	Браво! Можеш също да местиш карти *между колоните* на таблото. Подреди ги, ако думите принадлежат към *същата категория*.	Dobře! Můžeš také přesouvat karty *mezi sloupci* na tableau. Vrstvit je, pokud slova patří do *stejné kategorie*.	Gut! Du kannst auch Karten *zwischen Spalten* auf dem Tableau bewegen. Staple sie, wenn die Wörter zur *selben Kategorie* gehören.	Super! Možeš također pomicati karte *između stupaca* na tableu. Slaži ih ako riječi pripadaju *istoj kategoriji*.	Świetnie! Możesz także przesuwać karty *między kolumnami* na tableau. Układaj je w stos, jeśli słowa należą do *tej samej kategorii*.	Отлично! Ты также можешь перемещать карты *между колонками* на таблице. Складывай их, если слова относятся к *одной категории*.	いいですね！タブロー上の*列間でカードを*移動することもできます。単語が*同じカテゴリー*に属する場合は、積み重ねてください。	좋아요! 타블로에서 *열 사이로 카드를*이동할 수도 있습니다. 단어가 *같은 카테고리*에 속하면 쌓으세요.
tuto_step_3	*Tap the stock* to reveal more cards.	*Touchez le stock* pour révéler plus de cartes.	*Toca el mazo* para revelar más cartas.	*Tocca il mazzo* per rivelare più carte.	*Toque no monte* para revelar mais cartas.	Weinig kaarten meer? Trek van de stapel! *Tik gewoon op de stapel* in de rechterbovenhoek.	Изчерпват ти се картите? Тегли от тестето! Просто *докосни тестето* в горния десен ъгъл.	Dochází ti karty? Lízni si ze zásobníku! Stačí *klepnout na zásobník* v pravém horním rohu.	Wenig Karten übrig? Ziehe vom Stapel! *Tippe einfach auf den Stapel* in der oberen rechten Ecke.	Ponestaje ti karata? Izvuci iz špila! Samo *dodirni špil* u gornjem desnom kutu.	Brakuje kart? Dobierz ze stosu! Po prostu *dotknij stosu* w prawym górnym rogu.	Заканчиваются карты? Возьми из колоды! Просто *коснись колоды* в правом верхнем углу.	カードが少なくなりましたか？ストックから引いてください！右上隅の*ストックをタップ*するだけです。	카드가 부족하신가요? 스톡에서 뽑으세요! 오른쪽 상단 모서리의 *스톡을 탭*하기만 하면 됩니다.
tuto_step_4	Complete a category to *clear* it. Use that foundation for a *new category*.	Terminez une catégorie pour la *faire disparaître*. Utilisez cette fondation pour une *nouvelle catégorie*.	Completa una categoría para que *desaparezca*. Usa esa fundación para una *nueva categoría*.	Completa una categoria e la *pila scompare*. Usa quella fondazione per una *nuova categoria*.	Complete uma categoria para fazê-la *desaparecer*. Use essa fundação para uma *nova categoria*.	Wanneer je een categorie in een fundament voltooit, *verdwijnt die stapel*. Dan kun je beginnen met het *opbouwen van een nieuwe categorie* in dat fundament.	Когато завършиш категория в основа, тази *купчина изчезва*. След това можеш да започнеш да *изграждаш нова категория* в тази основа.	Když dokončíš kategorii na základu, tento *stos zmizí*. Pak můžeš začít *budovat novou kategorii* na tomto základu.	Wenn du eine Kategorie auf einem Fundament vervollständigst, *verschwindet dieser Stapel*. Dann kannst du anfangen, eine *neue Kategorie* auf diesem Fundament *aufzubauen*.	Kada dovršiš kategoriju na osnovi, taj se *hrpica nestaje*. Tada možeš početi *graditi novu kategoriju* na toj osnovi.	Kiedy ukończysz kategorię na fundamencie, ten *stos znika*. Wtedy możesz zacząć *budować nową kategorię* na tym fundamencie.	Когда ты завершаешь категорию на основании, эта *стопка исчезает*. Затем ты можешь начать *строить новую категорию* на этом основании.	土台でカテゴリーを完成させると、その*スタックは消えます*。その後、その土台で*新しいカテゴリーの構築*を始めることができます。	기반에서 카테고리를 완성하면 해당 *스택이 사라집니다*. 그런 다음 해당 기반에서 *새 카테고리 구축*을 시작할 수 있습니다.
tuto_step_5	Empty column? Move a *full stack* there.	Colonne vide ? Déplacez-y une *pile entière*.	¿Columna vacía? Mueve allí una *pila completa*.	Colonna vuota? Sposta lì una *pila intera*.	Coluna vazia? Mova uma *pilha inteira* para lá.	Geweldig! Zie je die *lege kolom* op het tableau? Je kunt een *hele stapel kaarten* daarheen verplaatsen.	Страхотно! Виждаш ли тази *празна колона* на таблото? Можеш да преместиш *цяла купчина карти* там.	Skvělé! Vidíš ten *prázdný sloupec* na tableau? Tam můžeš přesunout *celý balíček karet*.	Großartig! Siehst du diese *leere Spalte* auf dem Tableau? Du kannst einen *ganzen Stapel Karten* dorthin bewegen.	Odlično! Vidiš li taj *prazan stupac* na tableu? Tamo možeš pomaknuti *cijelu hrpicu karata*.	Wspaniale! Widzisz tę *pustą kolumnę* na tableau? Możesz tam przesunąć *cały stos kart*.	Круто! Видишь этот *пустой столбец* на таблице? Туда можно переместить *целую стопку карт*.	素晴らしい！タブローの*空の列*が見えますか？そこに*カードのスタック全体*を移動できます。	멋져요! 타블로의 *빈 열*이 보이시나요? 거기로 *카드 스택 전체*를 이동할 수 있습니다.
tuto_step_6	Complete every category to clear the level!	Terminez chaque catégorie pour finir le niveau !	¡Completa cada categoría para superar el nivel!	Completa ogni categoria per superare il livello!	Complete cada categoria para vencer o nível!	Voltooi *alle categorieën* om het niveau te halen!	Завърши *всички категории*, за да спечелиш нивото!	Dokonči *všechny kategorie*, abys porazil úroveň!	Beende *alle Kategorien*, um das Level zu schaffen!	Dovrši *sve kategorije* kako bi pobijedio razinu!	Ukończ *wszystkie kategorie*, aby pokonać poziom!	Завершi *все категории*, чтобы пройти уровень!	レベルをクリアするには*すべてのカテゴリー*を完了してください！	레벨을 클리어하려면 *모든 카테고리*를 완료하세요!
														
# Tableau														
Moves	Moves	Coups	Movimientos	Mosse	Movimentos	Zetten	Ходове	Tahy	Züge	Potezi	Ruchy	Ходы	手数	이동
Level {0}	Level {0}	Niveau {0}	Nivel {0}	Livello {0}	Nível {0}	Niveau {0}	Ниво {0}	Úroveň {0}	Level {0}	Razina {0}	Poziom {0}	Уровень {0}	レベル {0}	레벨 {0}
Restore stock	Restore stock	Restaurer la pioche	Restaurar el mazo	Ripristina il mazzo	Restaurar o monte	Voorraad herstellen	Възстанови тестето	Obnovit balíček	Stapel wiederherstellen	Vrati špil	Przywróć stos dobierania	Восстановить колоду	山札を戻す	드로우 더미 복원
														
# Tooltips														
move_invalid_category	Only cards from the *same category* may be stacked.	Seules les cartes d'une *même catégorie* peuvent être empilées.	Solo se pueden apilar cartas de la *misma categoría*.	Si possono impilare solo le carte della *stessa categoria*.	Só é possível empilhar cartas da *mesma categoria*.	Alleen kaarten uit *dezelfde categorie* mogen worden gestapeld.	Могат да се подреждат само карти от *една и съща категория*.	Karty lze skládat jen tehdy, pokud patří do *stejné kategorie*.	Nur Karten *derselben Kategorie* dürfen gestapelt werden.	Samo se karte iz *iste kategorije* mogu slagati.	Tylko karty z *tej samej kategorii* mogą być układane w stos.	Карты можно складывать только *одной и той же категории*.	*同じカテゴリー*のカードのみ積み重ねることができます。	*동일한 카테고리*의 카드만 쌓을 수 있습니다.
move_invalid_foundation	Only a *category* card may be placed on an *empty foundation*.	Seule une carte *catégorie* peut être placée sur une *fondation vide*.	Solo una carta de *categoría* puede colocarse en una *fundación vacía*.	Solo una carta *categoria* può essere posizionata su una *fondazione vuota*.	Somente uma carta de *categoria* pode ser colocada numa *fundação vazia*.	Alleen een *categoriekaart* mag op een *lege fundering* worden geplaatst.	Само карта от *категория* може да бъде поставена върху *празна основа*.	Na *prázdný základ* lze položit pouze kartu *kategorie*.	Nur eine *Kategorienkarte* darf auf eine *leere Fundamentablage* gelegt werden.	Samo se karta *kategorije* može staviti na *praznu osnovu*.	Na *pustej podstawie* można umieścić tylko kartę *kategorii*.	На *пустое основание* можно положить только карту *категории*.	*空の土台*には*カテゴリーカード*のみ置くことができます。	*빈 기반*에는 *카테고리 카드*만 놓을 수 있습니다.
move_invalid_cannot_put_card_over_category	Cards cannot be placed on top of a *category* card. Use the foundation	Les cartes ne peuvent pas être posées sur les cartes *catégories*. Utilisez une fondation.	No se pueden colocar cartas sobre una carta de *categoría*. Usa las fundaciones	Le carte non possono essere posizionate su una carta *categoria*. Usa le fondazioni	As cartas não podem ser colocadas sobre uma carta de *categoria*. Use as fundações	Kaarten kunnen niet op een *categorie*-kaart worden geplaatst. Gebruik de foundation	Картите не могат да се поставят върху карта от *категория*. Използвайте основите	Karty nelze umístit na kartu *kategorie*. Použijte cílové hromádky	Karten können nicht auf eine *Kategorie*-Karte gelegt werden. Verwenden Sie die Ablage	Karte se ne mogu staviti na *kategorija* kartu. Koristite temelje	Kart nie można kłaść na kartę *kategorii*. Użyj fundamentów	Карты нельзя класть на карту *категории*. Используйте базовые стопки	カードは*カテゴリー*カードの上に置けません。組札を使ってください	카드는 *카테고리* 카드 위에 놓을 수 없습니다. 파운데이션을 사용하세요
move_invalid_category_must_be_placed_on_empty	*Category* card can only be placed on an *empty foundation*.	Une carte *catégorie* doit-être placée sur une *fondation vide*.	Una carta de *categoría* solo se puede colocar en una *fundación vacía*	Una carta *categoria* può essere posizionata solo su una *fondazione vuota*	Uma carta de *categoria* só pode ser colocada em uma *fundação vazia*	Een *categorie*-kaart kan alleen op een *lege foundation* worden geplaatst	Карта от *категория* може да се постави само върху *празна основа*	Karta *kategorie* může být umístěna pouze na *prázdnou cílovou hromádku*	Eine *Kategorie*-Karte kann nur auf eine *leere Ablage* gelegt werden	*Kategorija* karta može se staviti samo na *prazan temelj*	Karta *kategorii* może być umieszczona tylko na *pustym fundamencie*	Карта *категории* может быть размещена только на *пустую базовую стопку*	*カテゴリー*カードは*空の組札*にのみ置けます	*카테고리* 카드는 *빈 파운데이션*에만 놓을 수 있습니다
														
# Toaster tooltips														
No ad rewarded available	No ad rewarded available	Aucune publicité disponible	No hay anuncio con recompensa disponible	Nessun annuncio con ricompensa disponibile	Nenhum anúncio recompensado disponível	Geen beloningsadvertentie beschikbaar	Няма налична рекламна награда	Žádná reklamní odměna není k dispozici	Keine Belohnungswerbung verfügbar	Nema dostupne nagrađene reklame	Brak dostępnej reklamy z nagrodą	Нет доступной рекламной награды	利用可能な報酬広告はありません	사용 가능한 보상 광고가 없습니다
No moves available	No moves available	Aucun mouvement disponible	No hay movimientos disponibles	Nessuna mossa disponibile	Nenhum movimento disponível	Geen zetten beschikbaar	Няма налични ходове	Žádné tahy nejsou k dispozici	Keine Züge verfügbar	Nema dostupnih poteza	Brak dostępnych ruchów	Нет доступных ходов	利用可能な手がありません	사용 가능한 이동이 없습니다
Ad rewarded failed	Ad rewarded failed	La publicité a échoué	Falló el anuncio con recompensa	Annuncio con ricompensa non riuscito	Falha no anúncio recompensado	Beloningsadvertentie mislukt	Рекламата с награда не бе успешна	Reklamní odměna se nezdařila	Belohnungswerbung fehlgeschlagen	Nagrađena reklama nije uspjela	Reklama z nagrodą nie powiodła się	Рекламная награда не удалась	報酬広告に失敗しました	보상 광고에 실패했습니다
														
# Win screen														
LEVEL COMPLETED!	LEVEL COMPLETED!	NIVEAU TERMINÉ !	¡NIVEL COMPLETADO!	LIVELLO COMPLETATO!	NÍVEL CONCLUÍDO!	NIVEAU VOLTOOID!	НИВОТО Е ЗАВЪРШЕНО!	ÚROVEŇ DOKONČENA!	LEVEL ABGESCHLOSSEN!	RAZINA ZAVRŠENA!	POZIOM UKOŃCZONY!	УРОВЕНЬ ПРОЙДЕН!	レベルクリア！	레벨 완료!
Level completed	Level completed													
Moves remaining	Moves remaining													
														
# Settings														
Settings	Settings	Paramètres	Ajustes	Impostazioni	Configurações	Instellingen	Настройки	Nastavení	Einstellungen	Postavke	Ustawienia	Настройки	設定	설정
Privacy Policy	Privacy Policy	Politique de confidentialité	Política de privacidad	Informativa sulla privacy	Política de privacidade	Privacybeleid	Политика за поверителност	Zásady ochrany osobních údajů	Datenschutzerklärung	Pravila privatnosti	Polityka prywatności	Политика конфиденциальности	プライバシーポリシー	개인정보 처리방침
Support	Support	Support	Soporte	Supporto	Suporte	Ondersteuning	Поддръжка	Podpora	Support	Podrška	Wsparcie	Поддержка	サポート	지원
Sounds	Sounds	Sons	Sonido	Suono	Som	Geluid	Звук	Zvuk	Klang	Zvuk	Dźwięk	Звук	サウンド	사운드
UI language:	UI language:	Langue de l'interface :	Idioma de la interfaz:	Lingua dell'interfaccia:	Idioma da interface:	UI-taal:	Език на интерфейса:	Jazyk rozhraní:	UI-Sprache:	Jezik sučelja:	Język interfejsu:	Язык интерфейса:	UI言語:	UI 언어:
Game language:	Game language:	Langue du jeu :	Idioma del juego:	Lingua del gioco:	Idioma do jogo:	Speltaal:	Език на играта:	Jazyk hry:	Spielsprache:	Jezik igre:	Język gry:	Язык игры:	ゲーム言語:	게임 언어:
Fast move	Fast move	Mouvement rapide	Movimiento rápido	Movimento rapido	Movimento rápido	Snelle zet	Бърз ход	Rychlý tah	Schneller Zug	Brzi potez	Szybki ruch	Быстрый ход	クイック移動	빠른 이동
confirm_restart	Restart?	Redémarrer ?	¿Reiniciar?	Ricominciare?	Reiniciar?	Herstarten?	Рестартиране?	Restartovat?	Neustarten?	Ponovo pokrenuti?	Uruchomić ponownie?	Перезапустить?	リスタートしますか？	재시작하시겠습니까?
Quit game	Quit game	Quitter le jeu	Salir del juego	Esci dal gioco	Sair do jogo	Het spel afsluiten	Изход от играта	Ukončit hru	Spiel beenden	Izađi iz igre	Zakończ grę	Выйти из игры	ゲームを終了する	게임 종료
Show valid moves	Show valid moves	Afficher les coups valides	Mostrar movimientos válidos	Mostra mosse valide	Mostrar movimentos válidos	Geldige zetten tonen	Показване на валидни ходове	Zobrazit platné tahy	Gültige Züge anzeigen	Prikaži valjane poteze	Pokaż prawidłowe ruchy	Показывать допустимые ходы	有効な手を表示	유효한 이동 표시
style_color	Color #{0}	Couleur n°{0}	Color n.º {0}	Colore n. {0}	Cor nº {0}	Kleur #{0}	Цвят №{0}	Barva č. {0}	Farbe Nr. {0}	Boja br. {0}	Kolor nr {0}	Цвет №{0}	カラー{0}	색상 #{0}
style_background	Background	Fond	Fondo	Sfondo	Fundo	Achtergrond	Фон	Pozadí	Hintergrund	Pozadina	Tło	Фон	背景	배경
style_cards	Cards	Cartes	Cartas	Carte	Cartas	Kaarten	Карти	Karty	Karten	Karte	Karty	Карты	カード	카드
														
# Popups														
Continue	Continue	Continuer	Continuar	Continua	Continuar	Doorgaan	Продължи	Pokračovat	Weiter	Nastavi	Kontynuuj	Продолжить	続ける	계속
Restart	Restart	Redémarrer	Reiniciar	Ricomincia	Reiniciar	Herstarten	Рестартирай	Restartovat	Neustarten	Ponovo pokreni	Uruchom ponownie	Перезапустить	リスタート	재시작
														
# Out of move popup														
out_of_moves_title	Out of moves	Plus de coups	Sin movimientos	Mosse terminate	Sem movimentos	Geen zetten meer	Няма ходове	Žádné tahy	Keine Züge mehr	Nema više poteza	Brak ruchów	Нет ходов	手数切れ	이동 없음
out_of_moves_msg	You can add +{0} moves	Vous pouvez ajouter +{0} coups	Puedes añadir +{0} movimientos	Puoi aggiungere +{0} mosse	Pode adicionar +{0} movimentos	Je kunt +{0} zetten toevoegen	Можеш да добавиш +{0} хода	Můžeš přidat +{0} tahů	Du kannst +{0} Züge hinzufügen	Možeš dodati +{0} poteza	Możesz dodać +{0} ruchów	Ты можешь добавить +{0} ходов	+{0}手を追加できます	+{0}이동을 추가할 수 있습니다
														
# No moves left popup														
no_moves_left_title	No moves left	Plus de coups possibles	No quedan movimientos	Nessuna mossa rimasta	Nenhum movimento restante	Geen zetten over	Няма останали ходове	Žádné zbývající tahy	Keine Züge übrig	Nema preostalih poteza	Nie pozostały żadne ruchy	Не осталось ходов	手数がありません	남은 이동 없음
no_moves_left_msg_old	You can use Joker	Vous pouvez utiliser le Joker	Puedes usar el Comodín	Puoi usare il Jolly	Pode usar o Curinga	Je kunt de Joker gebruiken	Можеш да използваш Джокер	Můžeš použít Jokera	Du kannst den Joker verwenden	Možeš koristiti Joker	Możesz użyć Jokera	Ты можешь использовать Джокер	ジョーカーを使用できます	조커를 사용할 수 있습니다
no_moves_left_msg	No moves left? Try the Joker!	Plus de coups restants ? Essayez le Joker !	¿No te quedan jugadas? ¡Prueba el comodín!	Nessuna mossa rimasta? Prova il jolly!	Sem jogadas restantes? Experimente o curinga!	Geen zetten meer? Probeer de joker!	Няма останали ходове? Опитай жокера!	Došly ti tahy? Zkus žolíka!	Keine Züge mehr? Probiere den Joker!	Nema više poteza? Isprobaj jokera!	Brak ruchów? Użyj jokera!	Ходов больше нет? Попробуй джокер!	手詰まり？ジョーカーを使おう！	더 이상 이동할 수 없나요? 조커를 사용해 보세요!
no_moves_left_msg2	The Joker can be placed on any card and allows any card to be placed on it.	Le Joker peut être placé sur n’importe quelle carte et permet de placer n’importe quelle carte dessus.	El comodín se puede colocar sobre cualquier carta y permite colocar cualquier carta sobre él.	Il Jolly può essere posizionato su qualsiasi carta e consente di posizionare qualsiasi carta su di esso.	O Coringa pode ser colocado em qualquer carta e permite que qualquer carta seja colocada sobre ele.	De Joker kan op elke kaart worden geplaatst en staat toe dat elke kaart erop wordt geplaatst.	Жокерът може да бъде поставен върху всяка карта и позволява върху него да бъде поставена всяка карта.	Žolík lze položit na jakoukoli kartu a umožňuje na něj položit jakoukoli kartu.	Der Joker kann auf jede Karte gelegt werden und erlaubt, jede Karte darauf zu legen.	Joker se može staviti na bilo koju kartu i omogućuje da se na njega stavi bilo koja karta.	Joker może zostać położony na dowolnej karcie i pozwala położyć na nim dowolną kartę.	Джокер можно положить на любую карту, и на него можно положить любую карту.	ジョーカーはどのカードの上にも置くことができ、またどのカードもその上に置くことができます。	조커는 어떤 카드 위에도 놓을 수 있으며, 어떤 카드든 그 위에 놓을 수 있습니다.
stuck_msg	Game seems stuck? Try the Joker!	Le jeu semble bloqué ? Essayez le Joker !	¿El juego parece atascado? ¡Prueba el comodín!	Il gioco sembra bloccato? Prova il jolly!	O jogo parece travado? Experimente o coringa!	Lijkt het spel vast te zitten? Probeer de joker!	Изглежда, че играта е блокирала? Опитайте жокера!	Zdá se, že hra je zaseklá? Zkus žolíka!	Scheint das Spiel festzustecken? Probiere den Joker!	Čini se da je igra zapela? Isprobaj džokera!	Gra wydaje się zablokowana? Wypróbuj jokera!	Игра кажется застряла? Попробуйте джокера!	ゲームが詰まった？ジョーカーを試そう！	게임이 막힌 것 같나요? 조커를 사용해 보세요!
+{0} moves	+{0} moves	+{0} coups	+{0} movimientos	+{0} mosse	+{0} movimentos	+{0} zetten	+{0} хода	+{0} tahů	+{0} Züge	+{0} poteza	+{0} ruchów	+{0} ходов	+{0} ムーブ	+{0} 이동
Use Joker	Use Joker	Utiliser le Joker	Usar Comodín	Usa Jolly	Usar Curinga	Joker gebruiken	Използвай Джокер	Použít Jokera	Joker verwenden	Koristi Joker	Użyj Jokera	Использовать Джокер	ジョーカーを使う	조커 사용
														
														
# Lang changed popup														
lang_changed_title	Restart?	Redémarrer ?	¿Reiniciar?	Ricominciare?	Reiniciar?	Herstarten?	Рестартиране?	Restartovat?	Neustarten?	Ponovo pokrenuti?	Uruchomić ponownie?	Перезапустить?	リスタートしますか？	재시작하시겠습니까?
lang_changed_msg	Language change detected. Do you want to restart?	Changement de langue détecté. Voulez-vous redémarrer ?	Cambio de idioma detectado. ¿Quieres reiniciar?	Rilevato cambio di lingua. Vuoi ricominciare?	Mudança de idioma detetada. Deseja reiniciar?	Taalwijziging gedetecteerd. Wil je herstarten?	Открита промяна на езика. Искаш ли да рестартираш?	Byla zjištěna změna jazyka. Chceš restartovat?	Sprachwechsel erkannt. Möchtest du neu starten?	Otkrivena promjena jezika. Želiš li ponovo pokrenuti?	Wykryto zmianę języka. Czy chcesz uruchomić ponownie?	Обнаружено изменение языка. Хочешь перезапустить?	言語の変更が検出されました。再起動しますか？	언어 변경이 감지되었습니다. 재시작하시겠습니까?
														
# Level changed popup (support)														
level_changed_title	Level updated	Niveau mis à jour	Nivel actualizado	Livello aggiornato	Nível atualizado	Niveau bijgewerkt	Нивото е обновено	Úroveň aktualizována	Level aktualisiert	Razina ažurirana	Poziom zaktualizowany	Уровень обновлен	レベルが更新されました	레벨 업데이트됨
level_changed_msg	Your progression has been updated to level {0}. Please restart.	Votre progression a été mise à jour au niveau {0}. Veuillez redémarrer.	Tu progreso se ha actualizado al nivel {0}. Por favor, reinicia.	La tua progressione è stata aggiornata al livello {0}. Per favore riavvia.	O teu progresso foi atualizado para o nível {0}. Por favor, reinicia.	Je voortgang is bijgewerkt naar niveau {0}. Start de app opnieuw op.	Вашият прогрес е обновен до ниво {0}. Моля, рестартирайте.	Váš postup byl aktualizován na úroveň {0}. Restartujte prosím.	Dein Fortschritt wurde auf Stufe {0} aktualisiert. Bitte starte neu.	Vaš napredak je ažuriran na razinu {0}. Molimo ponovno pokrenite.	Twój postęp został zaktualizowany do poziomu {0}. Proszę uruchom ponownie.	Ваш прогресс обновлен до уровня {0}. Пожалуйста, перезапустите.	進捗がレベル{0}に更新されました。再起動してください。	진행 상황이 {0} 레벨로 업데이트되었습니다. 다시 시작해 주세요.
														
# Confirm exit popup														
confirm_exit_title	Exit	Quitter	Salir	Esci	Sair	Afsluiten	Изход	Ukončit	Beenden	Izlaz	Wyjście	Выход	終了	종료
confirm_exit_msg	Are you sure you want to exit?\n\nYour progress will be saved.	Êtes-vous sûr de vouloir quitter ?\n\nVotre progression sera conservée.	¿Estás seguro de que quieres salir?\n\nTu progreso se guardará.,	Sei sicuro di voler uscire?\n\nI tuoi progressi verranno salvati.,	Tem certeza de que deseja sair?\n\nO seu progresso será salvo.,	Weet je zeker dat je wilt afsluiten?\n\nJe voortgang wordt opgeslagen.,	Сигурни ли сте, че искате да излезете?\n\nНапредъкът ви ще бъде запазен.,	Opravdu chcete ukončit?\n\nVáš postup bude uložen.,	Möchten Sie wirklich beenden?\n\nIhr Fortschritt wird gespeichert.,	Jeste li sigurni da želite izaći?\n\nVaš napredak će biti spremljen.,	Czy na pewno chcesz wyjść?\n\nPostępy zostaną zapisane.,	Вы уверены, что хотите выйти?\n\nВаш прогресс будет сохранён.,	本当に終了しますか？\n\n進行状況は保存されます。,	정말로 종료하시겠습니까?\n\n진행 상황은 저장됩니다.
Quit	Quit	Quitter	Salir	Esci	Sair	Afsluiten	Изход	Ukončit	Beenden	Izađi	Wyjdź	Выйти	終了	종료
														
# Version changed popup, need restart														
game_changed_title	New version	Nouvelle version	Nueva versión	Nuova versione	Nova versão	Nieuwe versie	Нова версия	Nová verze	Neue Version	Nova verzija	Nowa wersja	Новая версия	新しいバージョン	새 버전
game_changed_msg	A new version of the game is available. To enjoy it, the current game will need to be restarted. Thank you for your understanding.	Une nouvelle version du jeu est disponible. Pour en profiter, la partie en cours devra être redémarrée. Merci de votre compréhension.	Una nueva versión del juego está disponible. Para disfrutarla, será necesario reiniciar la partida actual. Gracias por su comprensión.	È disponibile una nuova versione del gioco. Per usufruirne, la partita in corso dovrà essere riavviata. Grazie per la comprensione.	Uma nova versão do jogo está disponível. Para aproveitá-la, o jogo atual precisará ser reiniciado. Obrigado pela compreensão.	Er is een nieuwe versie van het spel beschikbaar. Om ervan te genieten, moet het huidige spel opnieuw worden gestart. Bedankt voor uw begrip.	Налична е нова версия на играта. За да я използвате, текущата игра трябва да бъде рестартирана. Благодарим за разбирането.	Je k dispozici nová verze hry. Pro její využití bude nutné restartovat aktuální hru. Děkujeme za pochopení.	Eine neue Version des Spiels ist verfügbar. Um sie zu nutzen, muss das aktuelle Spiel neu gestartet werden. Vielen Dank für Ihr Verständnis.	Dostupna je nova verzija igre. Kako biste je koristili, trenutna igra mora se ponovno pokrenuti. Hvala na razumijevanju.	Dostępna jest nowa wersja gry. Aby z niej skorzystać, bieżąca gra musi zostać ponownie uruchomiona. Dziękujemy za zrozumienie.	Доступна новая версия игры. Чтобы воспользоваться ею, текущую игру необходимо перезапустить. Спасибо за понимание.	ゲームの新しいバージョンが利用可能です。ご利用いただくには、現在のゲームを再起動する必要があります。ご理解ありがとうございます。	게임의 새 버전을 사용할 수 있습니다. 이용하려면 현재 게임을 다시 시작해야 합니다. 양해해 주셔서 감사합니다.
														
# Ad break screen														
AD BREAK	AD BREAK	PUB	ANUNCIO	PUB	PUB	AD	РЕКЛ.	REKL.	WERB.	OGLAS	REKL.	РЕКЛ.	広告	광고
